sparse CPU N = 50
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
8,1913.7406324609183,0.6984388828277588,SOLVE_SUCCEEDED,37.0,0.6984388828277588,0.4265626258277587,0.26106602300000004,0.010810234
9,2521.422574459575,0.9440250396728516,SOLVE_SUCCEEDED,37.0,0.9440250396728516,0.5986408516728514,0.3340217440000002,0.011362444
10,3425.7386502129957,1.7142059803009033,SOLVE_SUCCEEDED,36.0,1.7142059803009033,1.2547697483009033,0.44829534800000004,0.011140884000000005
11,4719.30271219369,1.9984588623046875,SOLVE_SUCCEEDED,37.0,1.9984588623046875,1.3259210603046876,0.660736904,0.011800898000000004
12,6498.97607086692,2.4343411922454834,SOLVE_SUCCEEDED,37.0,2.4343411922454834,1.6725864442454834,0.7492717639999998,0.012482984000000006
13,8862.730121741071,3.3651340007781982,SOLVE_SUCCEEDED,38.0,3.3651340007781982,2.211087107778198,1.1408001870000004,0.013246705999999999
14,11907.748309349641,4.083323955535889,SOLVE_SUCCEEDED,38.0,4.083323955535889,2.5475381005358892,1.5223545639999994,0.013431291000000007

sparse CPU N = 150
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,2897.201919803396,1.675,first_order,25.0,0.0,0.0,0.0,0.0
5,3122.900199646596,17.174999999999997,first_order,29.0,0.0,0.0,0.0,0.0
6,3441.2994693834335,55.906,first_order,29.0,0.0,0.0,0.0,0.0
7,3836.246314054355,238.177,first_order,30.0,0.0,0.0,0.0,0.0
8,4354.065882626921,4952.691,first_order,31.0,0.0,0.0,0.0,0.0
9,5063.12579434365,10357.105,first_order,31.0,0.0,0.0,0.0,0.0
condensed CPU N = 150
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,2897.201919800602,8.898826122283936,SOLVE_SUCCEEDED,27.0,8.898826122283936,8.346299006283935,0.242691871,0.30983524500000004
5,3122.9001999688335,17.402658939361572,SOLVE_SUCCEEDED,32.0,17.402658939361572,16.299495329361573,0.5619603969999998,0.5412032129999997
6,3441.2994693918154,28.93980097770691,SOLVE_SUCCEEDED,31.0,28.93980097770691,27.64048649370691,0.9329151769999999,0.36639930700000006
7,3836.246314048767,53.02311182022095,SOLVE_SUCCEEDED,36.0,53.02311182022095,50.500560634220946,2.0963854300000007,0.42616575599999995
8,4354.065882632509,155.5302619934082,SOLVE_SUCCEEDED,37.0,155.5302619934082,150.26888325440822,4.8083186899999975,0.453060049
9,5063.1257943324745,110.49596190452576,SOLVE_SUCCEEDED,38.0,110.49596190452576,105.20012394252575,4.895976062,0.3998619
10,6047.84546007216,153.2401978969574,SOLVE_SUCCEEDED,36.0,153.2401978969574,145.3160233329574,7.534206130000002,0.3899684339999998
11,7413.486014157534,221.0955090522766,SOLVE_SUCCEEDED,38.0,221.0955090522766,208.2669681412766,12.39878933000001,0.4297515810000002
12,9289.730319775641,353.70208406448364,SOLVE_SUCCEEDED,38.0,353.70208406448364,332.38396242248365,20.835821467999995,0.48230017400000014
13,11832.4735141173,404.06465888023376,SOLVE_SUCCEEDED,39.0,404.06465888023376,376.65056279823375,26.91620309099999,0.49789299099999995
14,15223.622954815626,559.5883219242096,SOLVE_SUCCEEDED,40.0,559.5883219242096,515.7183817282097,43.335907328999994,0.5340328670000001
condensed GPU N = 150
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,2897.201919800602,0.6788959503173828,SOLVE_SUCCEEDED,27.0,0.6788959503173828,0.4307619923173829,0.22645039199999997,0.021683565999999998
5,3122.900199968368,1.2615962028503418,SOLVE_SUCCEEDED,32.0,1.2615962028503418,0.7408254488503419,0.493262327,0.027508427000000002
6,3441.2994693918154,1.9326069355010986,SOLVE_SUCCEEDED,31.0,1.9326069355010986,1.1492688675010987,0.756811253,0.026526815
7,3836.2463140506297,4.1946799755096436,SOLVE_SUCCEEDED,36.0,4.1946799755096436,2.7156598805096435,1.4455197719999997,0.033500323000000005
8,4354.065882632509,6.123408079147339,SOLVE_SUCCEEDED,37.0,6.123408079147339,3.493808358147339,2.595191337,0.03440838399999999
9,5063.125794339925,8.049598932266235,SOLVE_SUCCEEDED,38.0,8.049598932266235,4.529048349266235,3.486852952999999,0.033697630000000006
10,6047.84546007961,10.762748956680298,SOLVE_SUCCEEDED,36.0,10.762748956680298,6.139813027680298,4.588682324,0.034253605000000006
11,7413.486014150083,15.133618831634521,SOLVE_SUCCEEDED,38.0,15.133618831634521,8.629881504634522,6.466398101999999,0.03733922500000002
12,9289.73031975329,18.85119104385376,SOLVE_SUCCEEDED,38.0,18.85119104385376,11.474424262853757,7.337002757000002,0.03976402400000001
13,11832.473514132202,25.245506048202515,SOLVE_SUCCEEDED,39.0,25.245506048202515,15.393274588202516,9.807246267,0.04498519299999999
14,15223.622954815626,32.59495997428894,SOLVE_SUCCEEDED,40.0,32.59495997428894,18.89522523428895,13.65483397999999,0.044900760000000005

sparse CPU N = 250
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,4813.720867912751,2.995,first_order,26.0,0.0,0.0,0.0,0.0
5,5159.867518696934,27.852999999999998,first_order,30.0,0.0,0.0,0.0,0.0
6,5636.241009052843,91.173,first_order,29.0,0.0,0.0,0.0,0.0
7,6196.814191220328,412.28499999999997,first_order,32.0,0.0,0.0,0.0,0.0
8,6887.355562359095,7085.686000000001,first_order,31.0,0.0,0.0,0.0,0.0
condensed CPU N = 250
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,4813.720867910422,31.025628805160522,SOLVE_SUCCEEDED,28.0,31.025628805160522,29.104883937160523,0.817982593,1.1027622750000001
5,5159.867519228719,60.06755495071411,SOLVE_SUCCEEDED,33.0,60.06755495071411,56.777637930714114,1.9874388060000003,1.302478214
6,5636.241009071469,101.96482110023499,SOLVE_SUCCEEDED,31.0,101.96482110023499,97.11732474023499,3.5985523670000004,1.248943993
7,6196.814191231504,192.2759928703308,SOLVE_SUCCEEDED,38.0,192.2759928703308,182.1814208763308,8.548856284,1.5457157099999996
8,6887.35556236282,685.4194719791412,SOLVE_SUCCEEDED,37.0,685.4194719791412,658.6267145831412,25.132755003000007,1.6600023929999999
9,7780.038574159145,476.7861008644104,SOLVE_SUCCEEDED,38.0,476.7861008644104,445.89107284141045,29.124099426999997,1.7709285960000005
10,8957.611813239753,677.1830899715424,SOLVE_SUCCEEDED,37.0,677.1830899715424,629.1768454555423,46.248021404999996,1.7582231109999995
11,10518.795186318457,872.6254839897156,SOLVE_SUCCEEDED,38.0,872.6254839897156,807.8119091657155,63.07484109100001,1.7387337329999994
12,12583.257529571652,1327.6325368881226,SOLVE_SUCCEEDED,38.0,1327.6325368881226,1245.5343428291226,80.36130897200002,1.7368850869999992
13,15296.13368524611,1616.8969140052795,SOLVE_SUCCEEDED,39.0,1616.8969140052795,1508.5447973102796,106.56447987899999,1.7876368159999998
condensed GPU N = 250
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,4813.720867910888,1.6766440868377686,SOLVE_SUCCEEDED,28.0,1.6766440868377686,0.9863237238377685,0.653058643,0.03726172
5,5159.867519228719,3.536112070083618,SOLVE_SUCCEEDED,33.0,3.536112070083618,2.0433491280836185,1.4477849189999996,0.04497802299999999
6,5636.241009067744,6.594820976257324,SOLVE_SUCCEEDED,31.0,6.594820976257324,4.029268273257324,2.5246902709999994,0.04086243200000001
7,6196.814191231504,11.5644690990448,SOLVE_SUCCEEDED,38.0,11.5644690990448,6.825396720044801,4.683820380999999,0.05525199799999999
8,6887.35556236282,15.355297803878784,SOLVE_SUCCEEDED,37.0,15.355297803878784,9.234385368878785,6.069811327,0.05110110800000001
9,7780.038574159145,22.300727128982544,SOLVE_SUCCEEDED,38.0,22.300727128982544,13.268236564982548,8.976285585999996,0.05620497800000001
10,8957.611813239753,30.138285875320435,SOLVE_SUCCEEDED,37.0,30.138285875320435,18.357726735320433,11.72834616,0.05221298000000001
11,10518.795186318457,44.10452699661255,SOLVE_SUCCEEDED,38.0,44.10452699661255,27.797889042612553,16.248334133999997,0.058303820000000006
12,12583.257529571652,57.63804888725281,SOLVE_SUCCEEDED,38.0,57.63804888725281,35.33491449225279,22.23915930800001,0.06397508699999999
13,15296.13368524611,76.50640606880188,SOLVE_SUCCEEDED,39.0,76.50640606880188,46.52925182580188,29.910145769,0.06700847399999998

sparse CPU nz = 4
T, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
10,233.03966026424314,0.101,first_order,26.0,0.0,0.0,0.0,0.0
20,415.2482164345565,0.208,first_order,25.0,0.0,0.0,0.0,0.0
30,603.1425130440039,0.3,first_order,24.0,0.0,0.0,0.0,0.0
40,792.8537228175555,0.427,first_order,25.0,0.0,0.0,0.0,0.0
50,983.346717909677,0.547,first_order,26.0,0.0,0.0,0.0,0.0
75,1460.987251834129,0.852,first_order,27.0,0.0,0.0,0.0,0.0
100,1939.4477615600917,1.066,first_order,25.0,0.0,0.0,0.0,0.0
125,2418.241009407444,1.349,first_order,25.0,0.0,0.0,0.0,0.0
150,2897.201919803396,1.6019999999999999,first_order,25.0,0.0,0.0,0.0,0.0
200,3855.3766885572113,2.303,first_order,26.0,0.0,0.0,0.0,0.0
250,4813.720867912751,2.992,first_order,26.0,0.0,0.0,0.0,0.0
300,5772.150072539691,3.625,first_order,28.0,0.0,0.0,0.0,0.0
350,6730.627983297221,4.167,first_order,27.0,0.0,0.0,0.0,0.0
400,7689.1363812750205,5.04,first_order,27.0,0.0,0.0,0.0,0.0
450,8647.665129709058,5.8870000000000005,first_order,27.0,0.0,0.0,0.0,0.0
500,9606.208136776462,6.122000000000001,first_order,27.0,0.0,0.0,0.0,0.0
condensed CPU nz = 4
T, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
10,233.03966026417038,0.014876127243041992,SOLVE_SUCCEEDED,28.0,0.014876127243041992,0.013620182243041993,0.00047719,0.0007787549999999999
20,415.24821643467294,0.04975104331970215,SOLVE_SUCCEEDED,27.0,0.04975104331970215,0.045541999319702146,0.0018498580000000007,0.0023591860000000005
30,603.1425130433636,0.0998680591583252,SOLVE_SUCCEEDED,26.0,0.0998680591583252,0.0910889881583252,0.0038850290000000003,0.004894042
40,792.8537228174973,0.2129678726196289,SOLVE_SUCCEEDED,27.0,0.2129678726196289,0.1956425056196289,0.008479437000000003,0.008845929999999998
50,983.3467181465821,0.33913111686706543,SOLVE_SUCCEEDED,27.0,0.33913111686706543,0.30540781186706545,0.01774150300000001,0.015981801999999996
75,1460.9872514979215,1.0199549198150635,SOLVE_SUCCEEDED,29.0,1.0199549198150635,0.9154837368150635,0.053203864999999975,0.051267318000000006
100,1939.447761555668,2.3060030937194824,SOLVE_SUCCEEDED,27.0,2.3060030937194824,2.1168832977194825,0.09332489499999995,0.09579490100000002
125,2418.2410094062798,3.759079933166504,SOLVE_SUCCEEDED,27.0,3.759079933166504,3.458779516166504,0.138049707,0.16225071000000002
150,2897.201919800602,6.63290810585022,SOLVE_SUCCEEDED,27.0,6.63290810585022,6.18835050485022,0.20105976,0.243497841
200,3855.376688609831,20.049799919128418,SOLVE_SUCCEEDED,28.0,20.049799919128418,19.149412484128415,0.371824098,0.528563337
250,4813.720867910422,26.965622901916504,SOLVE_SUCCEEDED,28.0,26.965622901916504,25.427949269916503,0.5589382899999998,0.9787353419999998
300,5772.15007262351,48.01544690132141,SOLVE_SUCCEEDED,30.0,48.01544690132141,45.47306494332141,0.9353936509999998,1.606988307
350,6730.627981721424,64.60436201095581,SOLVE_SUCCEEDED,29.0,64.60436201095581,61.06491955395581,1.2448683700000003,2.294574087
400,7689.136379476637,216.36516499519348,SOLVE_SUCCEEDED,29.0,216.36516499519348,210.67841371119349,2.385018578999999,3.301732705
450,8647.665129709058,123.30343413352966,SOLVE_SUCCEEDED,29.0,123.30343413352966,116.54520189352966,2.4072024269999996,4.3510298129999985
500,9606.208136771806,176.18448686599731,SOLVE_SUCCEEDED,29.0,176.18448686599731,167.31228326199732,3.2350007000000014,5.637202904
condensed GPU nz = 4
T, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
10,233.03966026415583,0.030292034149169922,SOLVE_SUCCEEDED,28.0,0.030292034149169922,0.026028973149169923,0.0006403080000000005,0.0036227529999999994
20,415.24821643461473,0.04082894325256348,SOLVE_SUCCEEDED,27.0,0.04082894325256348,0.03392184125256347,0.002260427,0.004646675000000003
30,603.1425130432472,0.047250986099243164,SOLVE_SUCCEEDED,26.0,0.047250986099243164,0.037590490099243166,0.004341841999999999,0.005318654000000002
40,792.8537228174391,0.06373000144958496,SOLVE_SUCCEEDED,27.0,0.06373000144958496,0.04955775744958497,0.007859171999999998,0.006313071999999999
50,983.3467181463493,0.08153390884399414,SOLVE_SUCCEEDED,27.0,0.08153390884399414,0.06234629384399414,0.012048647000000001,0.007138968
75,1460.9872514979215,0.15636992454528809,SOLVE_SUCCEEDED,29.0,0.15636992454528809,0.1146771905452881,0.031891499999999996,0.009801233999999995
100,1939.447761555668,0.2854890823364258,SOLVE_SUCCEEDED,27.0,0.2854890823364258,0.20503360633642576,0.06572395600000003,0.01473152
125,2418.2410094062798,0.4318881034851074,SOLVE_SUCCEEDED,27.0,0.4318881034851074,0.2966535924851075,0.11688095499999995,0.018353556
150,2897.201919800602,0.5985569953918457,SOLVE_SUCCEEDED,27.0,0.5985569953918457,0.3913461123918457,0.18595800200000004,0.021252880999999998
200,3855.376688609831,1.3514399528503418,SOLVE_SUCCEEDED,28.0,1.3514399528503418,0.9443479668503418,0.37796394799999994,0.029128038000000002
250,4813.720867910888,1.6396238803863525,SOLVE_SUCCEEDED,28.0,1.6396238803863525,0.9889857463863524,0.6151343450000001,0.035503789000000015
300,5772.15007262351,2.541404962539673,SOLVE_SUCCEEDED,30.0,2.541404962539673,1.5338059325396727,0.960172656,0.047426374
350,6730.627981721424,3.6222009658813477,SOLVE_SUCCEEDED,29.0,3.6222009658813477,2.221312292881348,1.33907642,0.06181225300000001
400,7689.136379476637,4.484625816345215,SOLVE_SUCCEEDED,29.0,4.484625816345215,2.822030069345214,1.6093833490000005,0.05321239799999999
450,8647.665129709058,5.413886070251465,SOLVE_SUCCEEDED,29.0,5.413886070251465,3.4588164192514643,1.8884279590000002,0.066641692
500,9606.208136773668,7.485950946807861,SOLVE_SUCCEEDED,29.0,7.485950946807861,5.076716559807862,2.341827384999999,0.06740700199999998
